id,title,description,link,price,availability,image_link,gtin,mpn,brand,update_type
2905,Minecraft Standard Edition Microsoft PC Digital,Minecraft Standard Edition Microsoft PC Digital Minecraft es un videojuego líder dentro del género de la aventura y la acción donde quien juega puede elegir entre supervivencia creatividad y dificultad extrema. Gracias al casi infinito mundo de terrenos que presenta es posible jugar durante horas y encontrar múltiples desafíos.Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.,https://www.gamestoremercadoshopscom.ml/minecraft-standard-edition-microsoft-pc-digital/p/MLM15588235,587 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_676793-MLA45065753740_032021-O.jpg,00710859266310,,Minecraft,merge
2906,Red Dead Redemption 2 Standard Edition Rockstar Games Xbox One Físico,Red Dead Redemption 2 Standard Edition Rockstar Games Xbox One Físico Ambientado a fines del siglo XIX y comienzos del XX Red Dead narra la historia del bandido John Marston quien es chantajeado por agentes federales que además tienen amenazada a su familia. Es una franquicia de videojuegos que combina sus modernos gráficos y una gran cantidad de desafíos para sus gamers. Su completa historia hace que sea considerado por la crítica especializada como uno de los mejores juegos dentro del género aventura en los últimos años.Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.,https://www.gamestoremercadoshopscom.ml/red-dead-redemption-2-standard-edition-rockstar-games-xbox-one-fisico/p/MLM14807282,178 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_854892-MLA46792259812_072021-O.jpg,00710859266327,,Red Dead,merge
2907,Dragon Ball Z Kakarot Standard Edition Bandai Namco Xbox One Físico,Dragon Ball Z Kakarot Standard Edition Bandai Namco Xbox One Físico Con este juego de Dragon Ball vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. ,https://www.gamestoremercadoshopscom.ml/dragon-ball-z-kakarot-standard-edition-bandai-namco-xbox-one-fisico/p/MLM15393901,647 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_948308-MLA44385884406_122020-O.jpg,00710859266334,,Dragon Ball,merge
2908,Assassins Creed The Ezio Collection Standard Edition Ubisoft PS4 Físico,Assassins Creed The Ezio Collection Standard Edition Ubisoft PS4 Físico Con este juego de Assassin s Creed vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.,https://www.gamestoremercadoshopscom.ml/assassins-creed-the-ezio-collection-standard-edition-ubisoft-ps4-fisico/p/MLM7973396,574 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_743976-MLA50172583421_062022-O.jpg,00710859266341,,Assassin s Creed,merge
2909,Dark Souls II Scholar of the First Sin Scholar of the First Sin Edition Bandai ,Dark Souls II Scholar of the First Sin Scholar of the First Sin Edition Bandai  Con este juego de Souls vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.,https://www.gamestoremercadoshopscom.ml/dark-souls-ii-scholar-of-the-first-sin-scholar-of-the-first-sin-edition-bandai-namco-xbox-360-fisico/p/MLM6194076,586 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_797338-MLA40940433845_022020-O.jpg,00710859266358,,Souls,merge
2910,Resident Evil 4 Standard Edition Capcom Xbox One Físico,Resident Evil 4 Standard Edition Capcom Xbox One Físico Con este juego de Resident Evil vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. ,https://www.gamestoremercadoshopscom.ml/resident-evil-4-standard-edition-capcom-xbox-one-fisico/p/MLM15260647,598 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_902359-MLA45254673828_032021-O.jpg,00710859266365,,Resident Evil,merge
2911,Doom Eternal Standard Edition Bethesda Xbox One Físico,Doom Eternal Standard Edition Bethesda Xbox One Físico Con este juego de Doom vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.,https://www.gamestoremercadoshopscom.ml/doom-eternal-standard-edition-bethesda-xbox-one-fisico/p/MLM15588236,648 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_769315-MLA44444778695_122020-O.jpg,00710859266372,,Doom,merge
2912,Call of Duty Black Ops 4 Standard Edition Actvision Xbox One Físico,Call of Duty Black Ops 4 Standard Edition Actvision Xbox One Físico Combinando realidad con ficción Call of Duty es un juego único por su calidad de desarrollo. Su objetivo es que cada jugador logre conquistar todas las misiones ya sea en una batalla contra otros ejércitos o combatiendo zombies. Sus gráficos jugabilidad desafíos e historias han hecho de la franquicia una de las más destacadas dentro de los videojuegos en primera persona.Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.,https://www.gamestoremercadoshopscom.ml/call-of-duty-black-ops-4-standard-edition-actvision-xbox-one-fisico/p/MLM15257475,646 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_697265-MLA45254874485_032021-O.jpg,00710859266389,,Call of Duty,merge
2913,Need for Speed Heat Standard Edition Electronic Arts Xbox One Físico,Need for Speed Heat Standard Edition Electronic Arts Xbox One Físico Con este juego de Need for Speed vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.,https://www.gamestoremercadoshopscom.ml/need-for-speed-heat-standard-edition-electronic-arts-xbox-one-fisico/p/MLM15247642,593 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_927742-MLA40919326599_022020-O.jpg,00710859266402,,Need for Speed,merge
2914,Plants vs. Zombies Garden Warfare 2 Standard Edition Electronic Arts Xbox One F,Plants vs. Zombies Garden Warfare 2 Standard Edition Electronic Arts Xbox One F Con este juego de Plants vs. Zombies vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.,https://www.gamestoremercadoshopscom.ml/plants-vs-zombies-garden-warfare-2-standard-edition-electronic-arts-xbox-one-fisico/p/MLM6138539,626 MXN,in_stock,https://http2.mlstatic.com/D_NQ_NP_846973-MLA44455500289_122020-O.jpg,00710859266419,,Plants vs. Zombies,merge
