id	title	description	link	price	availability	image_link	gtin	mpn	brand	update_type
15	Zomba | Titanium White	Zomba | Titanium White 	https://www.gamestoreml.store/es/item/zomba-titanium-white/24d17190-e310-4c6b-8305-1d9fd2e1fe2f.html	8.89 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/24d17190-e310-4c6b-8305-1d9fd2e1fe2f/2af93581-45de-4c45-b780-afa7f971d639/640x640.webp	00679628201689		Zomba | Titanium White	merge
16	Standard | Crimson	Standard | Crimson 	https://www.gamestoreml.store/es/item/standard-crimson/ab98ac00-ad08-4eb8-92b8-f77cf43da912.html	2.20 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/ab98ac00-ad08-4eb8-92b8-f77cf43da912/c1916f29-3b0c-4094-ba92-10dfd4044e39/640x640.webp	00679628201702		Standard | Crimson	merge
17	spoof	spoof 	https://www.gamestoreml.store/es/item/spoof/5b84713b-35cb-4623-aa8c-f435cfab6c7c.html	6.50 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/5b84713b-35cb-4623-aa8c-f435cfab6c7c/5f3dcf5f-151d-4da3-94b1-7279019226fa/640x640.webp	00679628201719		spoof	merge
18	Instant Delivery when ON	Instant Delivery when ON 	https://www.gamestoreml.store/es/item/instant-delivery-when-on/9c394d08-6449-472c-9b81-fd65bb4842eb.html	0.75 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/9c394d08-6449-472c-9b81-fd65bb4842eb/c86b45f6-0a8c-4a9d-895c-d7cca20d9eed/640x640.webp	00679628201733		Instant Delivery when ON	merge
19	Fennec	Fennec 	https://www.gamestoreml.store/es/item/fennec/4256f2fa-e677-48dc-a459-b019c4c69b79.html	1.89 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/4256f2fa-e677-48dc-a459-b019c4c69b79/bd1983ed-ab67-4840-bd53-6c2d217c4299/640x640.webp	00679628201740		Fennec	merge
20	Credit | 1 000C	Credit | 1 000C 	https://www.gamestoreml.store/es/item/credit-1-000c/b76326e3-56fa-47bb-86cb-f8d9c5d5c7d5.html	3.99 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/b76326e3-56fa-47bb-86cb-f8d9c5d5c7d5/520346b9-0c53-4735-90c4-0998006d9754/640x640.webp	00679628201757		Credit | 1 000C	merge
21	Credit | 1 000C	Credit | 1 000C 	https://www.gamestoreml.store/es/item/credit-1-000c/f943a89c-37c8-40bf-8bad-e85895734ee6.html	3.99 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/f943a89c-37c8-40bf-8bad-e85895734ee6/6fb4ffd2-4407-4b93-9dba-d8f5e54500f7/640x640.webp	00679628201764		Credit | 1 000C	merge
22	Standard | Black	Standard | Black 	https://www.gamestoreml.store/es/item/standard-black/a41f36f1-b387-4526-8140-b6ffbc57ce98.html	8.80 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/a41f36f1-b387-4526-8140-b6ffbc57ce98/3dc13fbb-c768-44fe-ae07-2368881cf093/640x640.webp	00679628201771		Standard | Black	merge
23	OEM | Black	OEM | Black 	https://www.gamestoreml.store/es/item/oem-black/d28ed60a-9d28-4983-af5b-27fea76e3a9f.html	3.15 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/d28ed60a-9d28-4983-af5b-27fea76e3a9f/4a8f836b-96d4-412e-b335-7f067bc294c2/640x640.webp	00679628201788		OEM | Black	merge
24	Credit | 1 000C	Credit | 1 000C 	https://www.gamestoreml.store/es/item/credit-1-000c/633111f9-004a-4a6e-a122-288809d02cae.html	3.99 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:2217863d-625e-4d21-a793-460b60f2f37f/633111f9-004a-4a6e-a122-288809d02cae/90f80d87-734c-4241-8b0c-a6a01ab08f27/640x640.webp	00679628201795		Credit | 1 000C	merge
